airline,flight_number,origin,destination,arrival_date,symptoms_onset_date,close_contact_rows,reporting_state
Qantas,QF470,Melbourne,Sydney,Thu 09 April 2020,Thu 23 April 2020,7-11,NSW
Qantas,QF843,Darwin,Sydney,Sat 04 April 2020,Sat 18 April 2020,All rows,NSW
Qantas,QF840,Sydney,Darwin,Fri 03 April 2020,Fri 17 April 2020,All rows,NSW
Qantas,QF843,Darwin,Sydney,Thu 02 April 2020,Thu 16 April 2020,All rows,NSW
Qantas,QF840,Sydney,Darwin,Wed 01 April 2020,Wed 15 April 2020,All rows,NSW
Qatar,QR990,Doha,Perth,Mon 30 March 2020,Mon 13 April 2020,"17, 18, 19, 20, 21",WA
Qatar,QR990,Doha,Perth,Sun 29 March 2020,Sun 12 April 2020,"20, 21, 22, 23, 24 and 26, 27, 28, 29, 30 and 32, 33, 34, 35, 36",WA
Qatar,QR990,Doha,Perth,Sat 28 March 2020,Sat 11 April 2020,"80, 81, 82, 83, 84",WA
QANTAS,QF475,Melbourne,Perth,Fri 27 March 2020,Fri 10 April 2020,"1, 2, 3, 4",WA
Qatar,QR908,Doha,Sydney,Fri 27 March 2020,Fri 10 April 2020,"28,29,30,31,32",ACT
QANTAS,QF10,London,Perth,Thu 26 March 2020,Thu 09 April 2020,"51, 52, 53, 54, 55",WA
Qantas,QF759,Sydney,Adelaide,Wed 25 March 2020,Wed 08 April 2020,,SA
Emirates,EK420,Dubai,Perth,Wed 25 March 2020,Wed 08 April 2020,"23, 24, 25, 26, 27",WA
Virgin,VA691,Melbourne,Perth,Wed 25 March 2020,Wed 08 April 2020,"16, 17, 18, 19, 20",WA
Qatar,QR900,Doha,Perth,Wed 25 March 2020,Wed 08 April 2020,"26, 27, 28, 29, 30",WA
Air New Zealand,NZ175,Auckland,Perth,Tue 24 March 2020,Tue 07 April 2020,"27, 28, 29, 30, 31",WA
Emirates,EK5493/QF816,Melbourne,Canberra,Tue 24 March 2020,Tue 07 April 2020,"8,9,10,11,12",ACT
Qatar,QR906,Doha (via Sydney),Canberra,Tue 24 March 2020,Tue 07 April 2020,"17, 18, 19, 20, 21",ACT
QANTAS,QF581,Sydney,Perth,Mon 23 March 2020,Mon 06 April 2020,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",WA
Virgin,VA685,Melbourne,Perth,Mon 23 March 2020,Mon 06 April 2020,"21, 22, 23, 24, 25",WA
QANTAS,QF1610,Perth,Kalgoorlie,Mon 23 March 2020,Mon 06 April 2020,"1, 2, 3, 4",WA
Emirates,EK420,Dubai,Perth,Mon 23 March 2020,Mon 06 April 2020,"44, 45, 46, 47, 48, 49 and 80, 81, 82, 83, 84",WA
QANTAS,QF8420,Dubai,Perth,Mon 23 March 2020,Mon 06 April 2020,"78, 79, 80, 81, 82",WA
Air New Zealand,NZ883,Christchurch,Sydney,Mon 23 March 2020,Mon 06 April 2020,"34,35,36,37,38",ACT
Tiger,TT461,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Qantas,QF683,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Qantas,QF739,Sydney,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Virgin Australia,VA227,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
QANTAS,QF583,Sydney,Perth,Sun 22 March 2020,Sun 05 April 2020,"1, 2, 3, 4, 5",WA
Virgin,VA559,Sydney,Perth,Sun 22 March 2020,Sun 05 April 2020,"20,21,22,23,24 and 28, 29, 30, 31, 32",WA
Virgin,VA1637,Perth,Kununurra,Sun 22 March 2020,Sun 05 April 2020,"9, 10, 11, 12, 13",WA
QANTAS,QF1606,Perth,Kalgoorlie,Sun 22 March 2020,Sun 05 April 2020,"15, 16, 17, 18, 19",WA
Virgin Australia,VA1226,Brisbane,Canberra,Sun 22 March 2020,Sun 05 April 2020,"1,2,3,4",ACT
Virgin Australia,VA648,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"14,15,16,17,18",ACT
Qantas,QF814,Melbourne,Canberra,Sun 22 March 2020,Sun 05 April 2020,"22,23,24,25,26",ACT
Qantas,QF1419,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"4,5,6,7,816,17,18,19,20",ACT
Singapore Airlines,SQ231,Singapore,Sydney,Sun 22 March 2020,Sun 05 April 2020,"30,31,32,33,34",ACT
Emirates,EK412/QF8412,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"76,77,78,79,80",ACT
Emirates,QF8406/EK406,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"79,80,81,82,83",ACT
British Airways,BA015,Singapore,Sydney,Sun 22 March 2020,Sun 05 April 2020,First class,ACT
Qantas,QF761,Sydney,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
Qantas,QF761,Sydney,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
Virgin Australia,VA1392,Brisbane,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
Emirates,EK420,Dubai,Perth,Sat 21 March 2020,Sat 04 April 2020,"43, 44, 45, 46, 4, and 53, 54, 55, 56, 57 and 80, 81, 82, 83, 84",WA
QANTAS,QF577,Sydney,Perth,Sat 21 March 2020,Sat 04 April 2020,"16, 17, 18, 19, 20",WA
Emirates,EK0420,Dubai,Perth,Sat 21 March 2020,Sat 04 April 2020,"43, 44, 45, 46, 47",WA
QANTAS,QF573,Brisbane,Perth,Sat 21 March 2020,Sat 04 April 2020,"1, 2, 3, 4, 5",WA
QANTAS,QF575,Sydney,Perth,Sat 21 March 2020,Sat 04 April 2020,"26, 27, 28, 29, 30",WA
British Airways,BA011,London,Singapore,Sat 21 March 2020,Sat 04 April 2020,"65,66,67,68,69",ACT
Qantas,QF761,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF761,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Jetstar,JQ563,Brisbane,Melbourne,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin Australia,VA444,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin,VA559,Sydney,Perth,Fri 20 March 2020,Fri 03 April 2020,"15, 16, 17, 18, 19",WA
Emirates,EK420,Dubai,Perth,Fri 20 March 2020,Fri 03 April 2020,"13, 14, 15, 16, 17",WA
REX airlines,ZL2125,Perth,Albany,Fri 20 March 2020,Fri 03 April 2020,"3, 4, 5, 6, 7",WA
Virgin,VA559,Sydney,Perth,Fri 20 March 2020,Fri 03 April 2020,"20, 21, 22, 23, 24",WA
Swiss International Air Lines,LX9042,Singapore,Perth,Fri 20 March 2020,Fri 03 April 2020,"41, 42, 43, 44, 45 and 52, 53, 54, 55, 56",WA
Qantas,QF1467,Sydney,Canberra,Fri 20 March 2020,Fri 03 April 2020,"10,11,12,13,14",ACT
Qantas,QF1425,Sydney,Canberra,Fri 20 March 2020,Fri 03 April 2020,"1,2,3,4,5",ACT
British Airways,BA15,London (via Singapore),Sydney,Fri 20 March 2020,Fri 03 April 2020,"47,48,49,50,51",ACT
Virgin Australia,VA444,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ768,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Qantas,QF759,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ764,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA436,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA418,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA249,Melbourne,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA444,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Qantas,QF759,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ768,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ764,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA436,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA418,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA249,Melbourne,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA838,Sydney,Melbourne,Thu 19 March 2020,Thu 02 April 2020,,SA
Singapore Airlines,SQ288,Singapore (via Sydney),Canberra,Thu 19 March 2020,Thu 02 April 2020,"30,31,32,33,34",ACT
Virgin Australia,VA640,Sydney,Canberra,Thu 19 March 2020,Thu 02 April 2020,"10,11,12,13,14",ACT
