airline,flight_number,origin,destination,arrival_date,symptoms_onset_date,close_contact_rows,reporting_state
Qantas,QF528,Sydney,Brisbane,Sat 28 March 2020,Sat 11 April 2020,,QLD
QANTAS,QF475,Melbourne,Perth,Fri 27 March 2020,Fri 10 April 2020,"1, 2, 3, 4",WA
Qantas,QF512,Sydney,Brisbane,Fri 27 March 2020,Fri 10 April 2020,,QLD
Qantas,QF604,Melbourne,Brisbane,Fri 27 March 2020,Fri 10 April 2020,,QLD
Qantas,QF840,Sydney,Darwin,Fri 27 March 2020,Fri 10 April 2020,,NT
Qatar,QR908,Doha,Sydney,Fri 27 March 2020,Fri 10 April 2020,"28,29,30,31,32",ACT
Qantas,QF520,Sydney,Brisbane,Thu 26 March 2020,Thu 09 April 2020,"15, 16, 17, 18, 19",NSW
Qantas,QF864,Sydney,Gold Coast,Thu 26 March 2020,Thu 09 April 2020,,QLD
Qantas,QF652,Perth,Brisbane,Thu 26 March 2020,Thu 09 April 2020,,QLD
Qantas,QF520,Sydney,Brisbane,Thu 26 March 2020,Thu 09 April 2020,,QLD
Qantas,QF2,London,Darwin,Thu 26 March 2020,Thu 09 April 2020,,NT
Qantas,QF2229,Sydney,Wagga,Wed 25 March 2020,Wed 08 April 2020,"10, 11, 12, 13, 14",NSW
Qantas,QF566,Perth,Sydney,Wed 25 March 2020,Wed 08 April 2020,"26, 27, 28, 29, 30, 3134, 35, 36, 37",NSW
Virgin,VA691,Melbourne,Perth,Wed 25 March 2020,Wed 08 April 2020,"16, 17, 18, 19, 20",WA
Virgin Australia,VA1141,Sydney,Ballina,Wed 25 March 2020,Wed 08 April 2020,,QLD
Qantas,QF508,Sydney,Brisbane,Wed 25 March 2020,Wed 08 April 2020,,QLD
Qantas,QF530,Sydney,Brisbane,Wed 25 March 2020,Wed 08 April 2020,,QLD
Qantas,QF1792,Brisbane,Townsville,Wed 25 March 2020,Wed 08 April 2020,,QLD
Qantas,QF838,Melbourne,Darwin,Wed 25 March 2020,Wed 08 April 2020,,NT
Jetstar,JQ526,Melbourne,Sydney,Tue 24 March 2020,Tue 07 April 2020,"1, 2, 3, 4, 5",NSW
Qantas,QF408,Melbourne,Sydney,Tue 24 March 2020,Tue 07 April 2020,"1, 2, 3, 4",NSW
Virgin,VA962,Brisbane,Sydney,Tue 24 March 2020,Tue 07 April 2020,"26, 27, 28, 29, 30",NSW
Qantas,QF675,Melbourne,Adelaide,Tue 24 March 2020,Tue 07 April 2020,,SA
Emirates,EK434,Dubai,Brisbane,Tue 24 March 2020,Tue 07 April 2020,,QLD
Virgin Australia,VA733,Melbourne,Gold Coast,Tue 24 March 2020,Tue 07 April 2020,,QLD
Virgin Australia,VA935,Sydney,Brisbane,Tue 24 March 2020,Tue 07 April 2020,,QLD
Virgin Australia,VA943,Sydney,Brisbane,Tue 24 March 2020,Tue 07 April 2020,,QLD
Qantas,QF594,Perth,Brisbane,Tue 24 March 2020,Tue 07 April 2020,,QLD
Virgin Australia,VA909,Sydney,Brisbane,Tue 24 March 2020,Tue 07 April 2020,,QLD
Qantas,QF2356,Brisbane,Rockhampton,Tue 24 March 2020,Tue 07 April 2020,,QLD
Qatar,QR906,Doha (via Sydney),Canberra,Tue 24 March 2020,Tue 07 April 2020,"17, 18, 19, 20, 21",ACT
Jetstar,JQ604,Sydney,Avalon,Mon 23 March 2020,Mon 06 April 2020,TBC,NSW
Qantas,QF545,Brisbane,Sydney,Mon 23 March 2020,Mon 06 April 2020,"19, 20, 21, 22, 23",NSW
Qantas,QF414,Melbourne,Sydney,Mon 23 March 2020,Mon 06 April 2020,"15, 16, 17, 18, 19, 2027, 28, 29, 30, 31",NSW
Virgin,VA935,Sydney,Brisbane,Mon 23 March 2020,Mon 06 April 2020,TBC,NSW
Qantas,QF741,Sydney,Adelaide,Mon 23 March 2020,Mon 06 April 2020,,SA
QANTAS,QF581,Sydney,Perth,Mon 23 March 2020,Mon 06 April 2020,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",WA
Virgin,VA685,Melbourne,Perth,Mon 23 March 2020,Mon 06 April 2020,"21, 22, 23, 24, 25",WA
Virgin Australia,VA1371,Launceston,Melbourne,Mon 23 March 2020,Mon 06 April 2020,,QLD
Virgin Australia,VA753,Melbourne,Coolangatta,Mon 23 March 2020,Mon 06 April 2020,,QLD
Emirates,EK054,Dubai,Brisbane,Mon 23 March 2020,Mon 06 April 2020,,QLD
Emirates,EK412,Dubai,Sydney,Mon 23 March 2020,Mon 06 April 2020,,QLD
Emirates,EY450,Adu Dhabi,Sydney,Mon 23 March 2020,Mon 06 April 2020,,QLD
Jetstar,JQ408,Sydney,Gold Coast,Mon 23 March 2020,Mon 06 April 2020,,QLD
Qantas,QF600,Melbourne,Brisbane,Mon 23 March 2020,Mon 06 April 2020,,QLD
Qantas,QF594,Perth,Brisbane,Mon 23 March 2020,Mon 06 April 2020,,QLD
Jetstar,JQ916,Melbourne,Townsville,Mon 23 March 2020,Mon 06 April 2020,,QLD
Qantas,QF840,Sydney,Darwin,Mon 23 March 2020,Mon 06 April 2020,,NT
Air New Zealand,NZ883,Christchurch,Sydney,Mon 23 March 2020,Mon 06 April 2020,"34,35,36,37,38",ACT
Jetstar,JQ415,Gold Coast,Sydney,Sun 22 March 2020,Sun 05 April 2020,"13, 14, 15, 16, 17,",NSW
Qantas,QF432,Melbourne,Sydney,Sun 22 March 2020,Sun 05 April 2020,"28, 29, 30, 31, 32",NSW
Qantas,QF556,Sydney,Brisbane,Sun 22 March 2020,Sun 05 April 2020,"10, 11, 12, 13, 14",NSW
Qantas,QF1419,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"4, 5, 6, 7, 8",NSW
Virgin,VA982,Brisbane,Sydney,Sun 22 March 2020,Sun 05 April 2020,"20, 21, 22, 23, 24",NSW
Virgin,VA992,Brisbane,Sydney,Sun 22 March 2020,Sun 05 April 2020,"8, 9, 10, 11, 12",NSW
Qantas,QF683,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Tiger,TT461,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Qantas,QF739,Sydney,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Virgin Australia,VA227,Melbourne,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Sun 22 March 2020,Sun 05 April 2020,,SA
QANTAS,QF583,Sydney,Perth,Sun 22 March 2020,Sun 05 April 2020,"1, 2, 3, 4, 5",WA
Virgin,VA559,Sydney,Perth,Sun 22 March 2020,Sun 05 April 2020,"20,21,22,23,24 and 28, 29, 30, 31, 32",WA
Tiger,TT524,Melbourne,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Air Canada,AC033,Vancouver,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
China Airlines,CI53,Taipei,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Emirates,EK434,Dubai,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Jetstar,JQ912,Sydney,Townsville,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF52,Singapore,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF922,Sydney,Cairns,Sun 22 March 2020,Sun 05 April 2020,,QLD
Virgin Australia,VA1118,Proserpine,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Virgin Australia,VA570,Perth,Sydney,Sun 22 March 2020,Sun 05 April 2020,,QLD
Virgin Australia,VA935,Sydney,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF556,Sydney,Brisbane,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF702,Melbourne,Cairns,Sun 22 March 2020,Sun 05 April 2020,,QLD
Emirates,EK5702,Melbourne,Cairns,Sun 22 March 2020,Sun 05 April 2020,,QLD
Qantas,QF796,Melbourne,Alice Springs,Sun 22 March 2020,Sun 05 April 2020,,NT
Qantas,QF2974,Alice Springs,Darwin,Sun 22 March 2020,Sun 05 April 2020,,NT
Jetstar,JQ664,Melbourne,Yulara,Sun 22 March 2020,Sun 05 April 2020,,NT
Emirates,QF8406,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"79,80,81,82,83",ACT
British Airways,BA015,Singapore,Sydney,Sun 22 March 2020,Sun 05 April 2020,First class,ACT
Emirates,EK412/QF8412,Dubai,Melbourne,Sun 22 March 2020,Sun 05 April 2020,"76,77,78,79,80",ACT
Virgin Australia,VA648,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"14,15,16,17,18",ACT
Qantas,QF814,Melbourne,Canberra,Sun 22 March 2020,Sun 05 April 2020,"22,23,24,25,26",ACT
Qantas,QF1419,Sydney,Canberra,Sun 22 March 2020,Sun 05 April 2020,"4,5,6,7,816,17,18,19,20",ACT
Singapore Airlines,SQ231,Singapore,Sydney,Sun 22 March 2020,Sun 05 April 2020,"30,31,32,33,34",ACT
Virgin Australia,VA1226,Brisbane,Canberra,Sun 22 March 2020,Sun 05 April 2020,"1,2,3,4",ACT
Rex,ZL166,Sydney,Orange,Sat 21 March 2020,Sat 04 April 2020,"6, 7, 8, 9, 10",NSW
Rex,ZL463,Sydney,Narrandera,Sat 21 March 2020,Sat 04 April 2020,"7, 8, 9, 10, 11",NSW
Qantas,QF575,Sydney,Perth,Sat 21 March 2020,Sat 04 April 2020,"26, 27, 28, 29, 30",NSW
Qantas,QF756,Adelai​de,Sydney,Sat 21 March 2020,Sat 04 April 2020,"23, 24, 25, 26, 27",NSW
Tiger,TT352,Sydney,Brisbane,Sat 21 March 2020,Sat 04 April 2020,"11, 12, 13, 14, 15",NSW
Virgin,VA570,Perth,Sydney,Sat 21 March 2020,Sat 04 April 2020,"6, 7, 8, 9, 10",NSW
Qantas,QF761,Sydney,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
Virgin Australia,VA1392,Brisbane,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,SA
QANTAS,QF577,Sydney,Perth,Sat 21 March 2020,Sat 04 April 2020,"16, 17, 18, 19, 20",WA
Emirates,EK0420,Dubai,Perth,Sat 21 March 2020,Sat 04 April 2020,"43, 44, 45, 46, 47",WA
QANTAS,QF573,Brisbane,Perth,Sat 21 March 2020,Sat 04 April 2020,"1, 2, 3, 4, 5",WA
QANTAS,QF575,Sydney,Perth,Sat 21 March 2020,Sat 04 April 2020,"26, 27, 28, 29, 30",WA
Qantas,QF970,Brisbane,Townsville,Sat 21 March 2020,Sat 04 April 2020,,QLD
Emirates,EK412,Dubai,Sydney,Sat 21 March 2020,Sat 04 April 2020,,QLD
Emirates,EK434,Dubai,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Emirates,EK434,Dubai,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Etihad,EY484,Abu Dhabi,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Qantas,QF970,Brisbane,Townsville,Sat 21 March 2020,Sat 04 April 2020,,QLD
Qantas,QF512,Sydney,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Qantas,QF654,Perth,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Virgin Australia,VA8,Los Angeles,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Virgin Australia,VA523,Sydney,Gold Coast,Sat 21 March 2020,Sat 04 April 2020,,QLD
Virgin Australia,VA925,Sydney,Brisbane,Sat 21 March 2020,Sat 04 April 2020,,QLD
Virgin Australia,VA1392,Brisbane,Adelaide,Sat 21 March 2020,Sat 04 April 2020,,QLD
Silk Air,MI801,Singapore,Darwin,Sat 21 March 2020,Sat 04 April 2020,,NT
British Airways,BA011,London,Singapore,Sat 21 March 2020,Sat 04 April 2020,"65,66,67,68,69",ACT
Jetstar,JQ504,Melbourne,Sydney,Fri 20 March 2020,Fri 03 April 2020,"20, 21, 22, 23, 24, 25, 26",NSW
Qantas,QF556,Sydney,Brisbane,Fri 20 March 2020,Fri 03 April 2020,"11, 12, 13, 14, 15",NSW
Qantas,QF2213,Sydney,Albury,Fri 20 March 2020,Fri 03 April 2020,"8, 9, 10, 11, 12",NSW
Qantas,QF2046,Sydney,Dubbo,Fri 20 March 2020,Fri 03 April 2020,"12, 13, 14, 15, 16",NSW
Qantas,QF2229,Sydney,Wagga,Fri 20 March 2020,Fri 03 April 2020,"13, 14, 15, 16, 17",NSW
Virgin,VA917,Sydney,Brisbane,Fri 20 March 2020,Fri 03 April 2020,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24",NSW
Qantas,QF761,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Jetstar,JQ563,Brisbane,Melbourne,Fri 20 March 2020,Fri 03 April 2020,,SA
Qantas,QF741,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin Australia,VA444,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Fri 20 March 2020,Fri 03 April 2020,,SA
Virgin,VA559,Sydney,Perth,Fri 20 March 2020,Fri 03 April 2020,"15, 16, 17, 18, 19",WA
Emirates,EK0420,Dubai,Perth,Fri 20 March 2020,Fri 03 April 2020,"13, 14, 15, 16, 17",WA
REX airlines,ZL2125,Perth,Albany,Fri 20 March 2020,Fri 03 April 2020,"3, 4, 5, 6, 7",WA
Virgin,VA559,Sydney,Perth,Fri 20 March 2020,Fri 03 April 2020,"20, 21, 22, 23, 24",WA
Qantas,QF536,Sydney,Gold Coast,Fri 20 March 2020,Fri 03 April 2020,,QLD
Jetstar,JQ420,Sydney,Gold Coast,Fri 20 March 2020,Fri 03 April 2020,,QLD
Emirates,EK4,London,Dubai,Fri 20 March 2020,Fri 03 April 2020,,QLD
Emirates,EK434,Dubai,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF10,Heathrow,Perth,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF16,Los Angeles,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Singapore airlines,SQ255,Singapore,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Virgin Australia,VA1115,Brisbane,Proserpine,Fri 20 March 2020,Fri 03 April 2020,,QLD
Virgin Australia,VA1393,Adelaide,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Virgin Australia,VA1555,Sydney,Hervey Bay,Fri 20 March 2020,Fri 03 April 2020,,QLD
Virgin Australia,VA353,Melbourne,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Virgin Australia,VA917,Sydney,Brisbane,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF1760,Brisbane,Cairns,Fri 20 March 2020,Fri 03 April 2020,,QLD
Jetstar,JQ563,Brisbane,Melbourne,Fri 20 March 2020,Fri 03 April 2020,,QLD
Qantas,QF840,Sydney,Darwin,Fri 20 March 2020,Fri 03 April 2020,,NT
Virgin,VA1351,Sydney,Darwin,Fri 20 March 2020,Fri 03 April 2020,,NT
Jetstar,JQ82,Denpasar,Darwin,Fri 20 March 2020,Fri 03 April 2020,,NT
British Airways,BA15,London (via Singapore),Sydney,Fri 20 March 2020,Fri 03 April 2020,"47,48,49,50,51",ACT
Qantas,QF1467,Sydney,Canberra,Fri 20 March 2020,Fri 03 April 2020,"10,11,12,13,14",ACT
Virgin Australia,VA444,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Qantas,QF759,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ768,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA428,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Jetstar,JQ764,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA436,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA418,Sydney,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
Virgin Australia,VA249,Melbourne,Adelaide,Thu 19 March 2020,Thu 02 April 2020,,SA
