Flight,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
QF843,Qantas,Darwin/Sydney,4 April 2020,4 April 2020,All    rows
QF840,Qantas,Sydney/Darwin,3 April 2020,3 April 2020,All    rows
QF843,Qantas,Darwin/Sydney,2 April 2020,2 April 2020,All    rows
QF840,Qantas,Sydney/Darwin,1 April 2020,1 April 2020,All    rows
ZL472,Rex,Griffith/Sydney,29 March 2020,29 March 2020,"2, 3, 4, 5, 6"
QF1580,Qantas,Sydney/Sunshine Coast    (Maroochydore),27 March 2020,27 March 2020,All rows
QF1581,Qantas,Sunshine Coast    (Maroochydore)/Sydney,27 March 2020,27 March 2020,All rows
QF520,Qantas,Sydney/Brisbane,26 March 2020,26 March 2020,"15, 16, 17, 18, 19"
QF2229,Qantas,Sydney/Wagga,25 March 2020,25 March 2020,"10, 11, 12, 13, 14"
QF566,Qantas,Perth/Sydney,25 March 2020,25 March 2020,"26, 27, 28, 29, 30, 3134, 35, 36, 37, 38"
QF582,Qantas,Perth/Sydney,25 March 2020,25 March 2020,"33, 34, 35, 36, 37"
