Date departed,Flight/Airline,Origin/Destination,Arrival time
27 March 2020,QF840 - Qantas,Sydney to Darwin,12:58pm
26 March 2020,QF2 - Qantas,London to Darwin,11:55pm
25 March 2020,QF838 - Qantas,Melbourne to Darwin,10:55am
23 March 2020,QF840 - Qantas,Sydney to Darwin,1:05pm
22 March 2020,QF796 - Qantas,Melbourne to Alice Springs,10:45am
22 March 2020,QF2974 - Qantas,Alice Springs to Darwin,07:02pm
22 March 2020,JQ664 - Jetstar,Melbourne to Yulara,10:36am
21 March 2020,MI801 - Silk Air,Singapore to Darwin,3:02pm
20 March 2020,QF840 - Qantas,Sydney to Darwin,1pm
20 March 2020,VA1351 - Virgin,Sydney to Darwin,12:25pm
19 March 2020,JQ82 - Jetstar,Denpasar to Darwin,5am
19 March 2020,QF824 - Qantas,Brisbane to Darwin,12:30pm
19 March 2020,JQ672 - Jetstar,Sydney to Darwin,11:30pm
