Flight Number,Airline,Origin,Destination,Date of arrival
JQ408,Jetstar,Sydney,Gold Coast,23-Mar-20
AC035,Air Canada,Vancouver,Brisbane,22-Mar-20
CI53,China Airlines,Taipei,Brisbane,22-Mar-20
QF52,Qantas,Singapore,Brisbane,22-Mar-20
EK434,Emirates,Dubai,Brisbane,21-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,21-Mar-20
VA08,Virgin Australia,Los Angeles,Brisbane,21-Mar-20
EK434,Emirates,Dubai,Brisbane,20-Mar-20
QF16,Qantas,Los Angeles,Brisbane,20-Mar-20
SQ255,Singapore airlines,Singapore,Brisbane,20-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,19-Mar-20
JQ420,Jetstar,Sydney,Coolangatta,19-Mar-20
JQ58,Jetstar,Denpasar Bali,Brisbane,19-Mar-20
JQ814,Jetstar,Sydney,Brisbane,19-Mar-20
QF16,Qantas,Los Angeles,Brisbane,19-Mar-20
QF512,Qantas,Sydney,Brisbane,19-Mar-20
QF52,Qantas,Singapore,Brisbane,19-Mar-20
QF550,Qantas,Sydney,Brisbane,19-Mar-20
VA08,Virgin Australia,Los Angeles,Brisbane,19-Mar-20
VA7123,Virgin Australia,Abu Dhabi,Brisbane,19-Mar-20
VA8,Virgin Australia,Los Angeles,Brisbane,19-Mar-20
VA935,Virgin Airlines,Sydney,Brisbane,19-Mar-20
VA951,Virgin Airlines,Sydney,Brisbane,19-Mar-20
EK434,Emirates,Dubai,Brisbane,18-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,18-Mar-20
EY484,Etihad,Cairo,Brisbane,18-Mar-20
JQ403,Jetstar,Gold Coast,Sydney,18-Mar-20
JQ424,Jetstar,Sydney,Gold Coast,18-Mar-20
JQ812,Jetstar,Sydney,Brisbane,18-Mar-20
QF0052,Qantas,Singapore,Brisbane,18-Mar-20
QF1436,Qantas,Sydney,Toowoomba,18-Mar-20
QF16,Qantas,Los Angeles,Brisbane,18-Mar-20
QF2378,Qantas,Brisbane,Hervey Bay,18-Mar-20
QF52,Qantas,Singapore,Brisbane,18-Mar-20
QF520,Qantas,Sydney,Brisbane,18-Mar-20
QF524,Qantas,Sydney,Brisbane,18-Mar-20
QF56,Qantas,Los Angeles,Brisbane,18-Mar-20
QF922,Qantas,Sydney,Cairns,18-Mar-20
SQ245,Singapore Airlines,Singapore,Brisbane,18-Mar-20
VA931,Virgin Airlines,Sydney,Brisbane,18-Mar-20
AC53,Air Canada,Vancouver,Brisbane,17-Mar-20
BI9,Royal Brunei  Airlines,Brunei,Brisbane,17-Mar-20
EK430,Emirates,Dubai,Brisbane,17-Mar-20
EK434,Emirates,Dubai,Brisbane,17-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,17-Mar-20
LX9018/ SQ235,Swiss Air/Singapore Airlines,Singapore,Brisbane,17-Mar-20
QF16,Qantas,Los Angeles,Brisbane,17-Mar-20
QF52,Qantas,Singapore,Brisbane,17-Mar-20
QF594,Qantas,Perth,Brisbane,17-Mar-20
QF60,Qantas,San Francisco,Brisbane,17-Mar-20
QF610,Qantas,Melbourne,Brisbane,17-Mar-20
QF98,Qantas,Hong Kong,Brisbane,17-Mar-20
VA471,Virgin Airlines,Perth,Brisbane,17-Mar-20
VA8,Virgin Australia,Los Angeles,Brisbane,17-Mar-20
B10009,Royal Brunei Airlines,Brunei,Brisbane,16-Mar-20
BA15,British Airways,Singapore,Sydney,16-Mar-20
D7200,Air Asia,Kuala Lumpur,Gold Coast,16-Mar-20
EK052,Emirates,Dubai,Brisbane,16-Mar-20
EK434,Emirates,Madrid,Brisbane,16-Mar-20
FQ235,Singapore Airlines,London,Brisbane,16-Mar-20
HA443,Hawaii Airlines,Hawaii,Brisbane,16-Mar-20
MZ135,Air New Zealand,Auckland,Brisbane,16-Mar-20
QF52,Qantas,Singapore,Brisbane,16-Mar-20
QF520,Qantas,Sydney,Brisbane,16-Mar-20
QF62,Qantas,Tokyo,Brisbane,16-Mar-20
SQ235,Singapore Airlines,Singapore,Brisbane,16-Mar-20
VA931,Virgin Airlines,Sydney,Brisbane,16-Mar-20
VA939,Virgin Airlines,Sydney,Brisbane,16-Mar-20
CX157,Finnair,Hong Kong,Brisbane,15-Mar-20
EY484,Etihad,Abu Dhabi,Brisbane,15-Mar-20
MH135,Malaysia Airlines,Kuala Lumpur,Brisbane,15-Mar-20
PR221,Philippine Airlines,Manila,Brisbane,15-Mar-20
QF 98,Qantas,Hong Kong,Brisbane,15-Mar-20
QF2422,Qantas,Newcastle,Brisbane,15-Mar-20
QF52,Qantas,Singapore,Brisbane,15-Mar-20
QF866,Qantas,Sydney,Hamilton Island,15-Mar-20
SQ235,Singapore Airlines,Singapore,Brisbane,15-Mar-20
