Flight Number,Airline,Origin,Destination,Date of arrival,Close Contact Rows
VA943,Virgin Airlines,Sydney,Brisbane,24-Mar-20,"16,17,18,19,20"
VA935,Virgin,Sydney,Brisbane,24-Mar-20,"17, 18, 19, 20, 21"
VA733,Virgin,Melbourne,Gold Coast,24-Mar-20,"13,14,15,16,17"
EK434,Emirates,Dubai,Brisbane,24-Mar-20,"73,74,75,76,77"
JQ408,Jetstar,Sydney,Gold Coast,23-Mar-20,Further information pending
EK054,Emirates,Dubai,Brisbane,23-Mar-20,"73,74,75,76,77"
EK412,Emirates,Dubai,Sydney,23-Mar-20,Further information pending
EY450,Emirates,Adu Dhabi,Sydney,23-Mar-20,"40,41,42,43,44"
QF922,Sydney,Cairns,Qantas,22-Mar-20,Not yet determined
VA1118,Virgin,Proserpine,Brisbane,22-Mar-20,Not yet determined
JQ912,Jetstar,Sydney,Townsville,22-Mar-20,"5,6,7,8,9"
VA570,Virgin,Perth,Sydney,22-Mar-20,"6,7,8,9,10"
AC033,Air Canada,Vancouver,Brisbane,22-Mar-20,Further information pending
CI53,China Airlines,Taipei,Brisbane,22-Mar-20,"30,31,32,33,34"
EK434,Emirates,Dubai,Brisbane,22-Mar-20,"45,46,47,48,49"
QF52,Qantas,Singapore,Brisbane,22-Mar-20,Further information pending
VA925,Virgin,Sydney,Brisbane,21-Mar-20,"1,2,3"
QF512,Qantas,Sydney,Brisbane,21-Mar-20,"12, 13, 14, 15, 16"
QF654,Qantas,Perth,Brisbane,21-Mar-20,"27,28,29,30"
QF0970,Qantas,Brisbane,Townsville,21-Mar-20,Not yet determined
VA523,Virgin,Sydney,Gold Coast,21-Mar-20,Not yet determined
EK434,Emirates,Dubai,Brisbane,21-Mar-20,"70,71,72,73,74"
EK412,Emirates,Dubai,Sydney,21-Mar-20,"56, 57, 58, 59,60"
EK434,Emirates,Dubai,Brisbane,21-Mar-20,"47,48,49,50,51"
EY484,Etihad,Abu Dhabi,Brisbane,21-Mar-20,Further information pending
VA08,Virgin Australia,Los Angeles,Brisbane,21-Mar-20,"14,15,16,17,18"
VA1555,Virign Airlines,Sydney,Hervey Bay,20-Mar-20,"26, 27, 28, 29, 30"
VA917,Virgin,Sydney,Brisbane,20-Mar-20,Not yet determined
VA1115,Virgin,Brisbane,Proserpine,20-Mar-20,Not yet determined
VA353,Virgin,Melbourne,Brisbane,20-Mar-20,"16,17,18,19,20,"
VA1393,Virgin,Adelaide,Brisbane,20-Mar-20,Not yet determined
EK0434,Emirates,Dubai,Brisbane,20-Mar-20,
EK004,Emirates,London,Dubai,20-Mar-20,Further information pending
EK434,Emirates,Dubai,Brisbane,20-Mar-20,"47,48,49,50,51"
QF10,Qantas,Heathrow,Perth,20-Mar-20,Further information pending
QF16,Qantas,Los Angeles,Brisbane,20-Mar-20,"54,55,56,57,58"
SQ255,Singapore airlines,Singapore,Brisbane,20-Mar-20,"40,41,42,43,44"
JQ954,Jetstar,Sydney,Cairns,19-Mar-20,"13, 14, 15, 16, 17"
JQ989,Jetstar,Perth,Sydney,19-Mar-20,Not yet determined
VA733,Virgin,Melbourne,Gold Coast,19-Mar-20,"11, 12, 13, 14, 15"
JQ420,Jetstar,Sydney,Coolangatta,19-Mar-20,"7, 8, 10, 11"
JQ814,Jetstar,Sydney,Brisbane,19-Mar-20,"1, 2, 3, 4"
QF512,Qantas,Sydney,Brisbane,19-Mar-20,"2,3,4,5,6"
QF550,Qantas,Sydney,Brisbane,19-Mar-20,1
VA935,Virgin Airlines,Sydney,Brisbane,19-Mar-20,"13,14,15,16,17"
VA935,Virgin Airlines,Sydney,Brisbane,19-Mar-20,"13,14,15,16,17"
VA951,Virgin Airlines,Sydney,Brisbane,19-Mar-20,23 24 25 26 27
JST428,Jetstar,Sydney,Coolangatta,19-Mar-20,"3, 4, 5, 6, 7"
VA379,Virgin Airlines,Brisbane,Townsville,19-Mar-20,"22, 23, 24, 25, 26"
VA947,Virgin Airlines,Sydney,Brisbane,19-Mar-20,"24, 25, 26, 27, 28"
QF538,Qantas,Sydney,Brisbane,19-Mar-20,"9,10,11,12,13"
VA543,Virgin Airlines,Sydney,Gold Coast,19-Mar-20,"11, 12, 13, 14, 15"
VA1243,Virgin,Brisbane,Rockhampton,19-Mar-20,"18, 19, 20, 21, 22"
VA1249,Virgin,Brisbane,Rockhampton,19-Mar-20,"20, 21, 22"
QF524,Qantas,Sydney,Brisbane,19-Mar-20,"12,13,14,15,16"
VA957,Virgin,Sydney,Brisbane,19-Mar-20,"15, 16, 17, 18, 19"
QF520,Qantas,Sydney,Brisbane,19-Mar-20,"14, 15, 16, 17, 18"
VA932,Virgin,Sydeny,Brisbane,19-Mar-20,Not yet determined
QF530,Qantas,Sydney,Brisbane,19-Mar-20,Not yet determined
QF780,Qantas,Brisbane,Cairns,19-Mar-20,Not yet determined
QF556,Qantas,Sydney,Brisbane,19-Mar-20,"18,19,20,21,22"
VA1405,Virgin,Adelaide,Brisbane,19-Mar-20,Not yet determined
TT604,Tiger Airlines,Sydney,Gold Coast,19-Mar-20,"15,16,17,18,19"
QF540,Qantas,Sydney,Brisbane,19-Mar-20,"2,3"
EK412,Emirates,Dubai,Sydney,19-Mar-20,"46,47,48,49,50"
EK434,Emirates,Dubai,Brisbane,19-Mar-20,Unknown
EY484,Etihad,Abu Dhabi,Brisbane,19-Mar-20,"35, 36, 37, 38, 39, 42, 43, 44, 45"
JQ58,Jetstar,Denpasar Bali,Brisbane,19-Mar-20,Further information pending
QF16,Qantas,Los Angeles,Brisbane,19-Mar-20,"46, 47, 48"
QF52,Qantas,Singapore,Brisbane,19-Mar-20,"58, 59, 60"
VA08,Virgin Australia,Los Angeles,Brisbane,19-Mar-20,"37,38,39,40,41"
VA7123,Virgin Australia,Abu Dhabi,Brisbane,19-Mar-20,Further information pending
VA8,Virgin Australia,Los Angeles,Brisbane,19-Mar-20,Further information pending
VA981,Virgin,Sydney,Brisbane,18-Mar-20,Not yet determined
TT612,Tiger,Sydney,Brisbane,18-Mar-20,"5, 6, 7, 8"
JQ403,Jetstar,Gold Coast,Sydney,18-Mar-20,"24,25,26,27,28"
JQ403,Jetstar,Gold Coast,Sydney,18-Mar-20,"24,25,26,27,28"
JQ424,Jetstar,Sydney,Gold Coast,18-Mar-20,"6,7,8,9,10"
JQ812,Jetstar,Sydney,Brisbane,18-Mar-20,"1, 2, 3, 4"
QF1436,Qantas,Sydney,Toowoomba,18-Mar-20,"3,4,5,6,7"
QF2378,Qantas,Brisbane,Hervey Bay,18-Mar-20,"6, 7, 8, 9. 10"
QF520,Qantas,Sydney,Brisbane,18-Mar-20,"17,18,19,20,21"
QF524,Qantas,Sydney,Brisbane,18-Mar-20,"5, 6, 7, 8, 9, 15,16,17,18,19"
QF922,Qantas,Sydney,Cairns,18-Mar-20,Further information pending
VA931,Virgin Airlines,Sydney,Brisbane,18-Mar-20,"1, 2, 3, 4"
QF538,Qantas,Sydney,Brisbane,18-Mar-20,"3,4,5,6,7"
EK5901,Emirates,Brisbane,Mackay,18-Mar-20,"12,13,14,15,16"
EK412,Emirates,Dubai,Sydney,18-Mar-20,"84, 85, 86, 87, 88"
EK434,Emirates,Dubai,Brisbane,18-Mar-20,Further information pending
EK434,Emirates,Dubai,Brisbane,18-Mar-20,"83,84,85,86,87"
EY484,Etihad,Abu Dhabi,Brisbane,18-Mar-20,"14, 25, 26, 27, 28, 29, 30"
EY484,Etihad,Cairo,Brisbane,18-Mar-20,"7,8,9,10,11"
QF0052,Qantas,Singapore,Brisbane,18-Mar-20,"51, 52, 53, 54, 55"
QF16,Qantas,Los Angeles,Brisbane,18-Mar-20,Further information pending
QF52,Qantas,Singapore,Brisbane,18-Mar-20,"24, 25, 26, 27, 28"
QF56,Qantas,Los Angeles,Brisbane,18-Mar-20,Further information pending
QF8,QANTAS,Dallas,Sydney,18-Mar-20,Further information pending
SQ245,Singapore Airlines,Singapore,Brisbane,18-Mar-20,"54,55,56,57,58"
VA2,Virgin Australia,Los Angeles,Sydney,18-Mar-20,Further information pending
VA1628,Virgin,Uluru,Sydney,17-Mar-20,"13, 14, 15, 16, 17"
VA977,Virgin,Sydney,Brisbane,17-Mar-20,"13, 14, 15, 16, 17"
QF594,Qantas,Perth,Brisbane,17-Mar-20,Further information pending
QF610,Qantas,Melbourne,Brisbane,17-Mar-20,"12,13,14,15,16"
VA471,Virgin Airlines,Perth,Brisbane,17-Mar-20,"1, 2, 3"
QF524,Qantas,Sydney,Brisbane,17-Mar-20,"1, 2, 3, 4, 5"
AC53,Air Canada,Vancouver,Brisbane,17-Mar-20,"29,30,31,32,33"
BI9,Royal Brunei Airlines,Brunei,Brisbane,17-Mar-20,"49, 50, 51, 52, 53"
EK406,Emirates,Dubai,Melbourne,17-Mar-20,"52, 53, 54"
EK430,Emirates,Dubai,Brisbane,17-Mar-20,Further information pending
EK434,Emirates,Dubai,Brisbane,17-Mar-20,"48, 49, 50, 51"
EK434,Emirates,Dubai,Brisbane,17-Mar-20,"44, 45, 46, 47, 48, 49, 50, 51"
EY484,Etihad,Abu Dhabi,Brisbane,17-Mar-20,Further information pending
LX9018 / SQ235,Swiss Air/Singapore Airlines,Singapore,Brisbane,17-Mar-20,"41,42,43"
QF10,Qantas,Heathrow,Perth,17-Mar-20,"20, 21, 22, 23, 57, 58, 59"
QF16,Qantas,Los Angeles,Brisbane,17-Mar-20,"1,2,3,4,5, 20,21,22,23"
QF60,Qantas,San Francisco,Brisbane,17-Mar-20,Further information pending
QF60,Qantas,San Francisco,Brisbane,17-Mar-20,Further information pending
QF98,Qantas,Hong Kong,Brisbane,17-Mar-20,Further information pending
