Flight Number,Airline,Origin,Destination,Date of arrival,Close Contact Rows
QF528,Qantas,Sydney,Brisbane,28-Mar-20,"20,21,22,23,24,25,26,27,28"
QF512,Qantas,Sydney,Brisbane,27-Mar-20,"13,14,15,16,17"
QF604,Qantas,Melbourne,Brisbane,27-Mar-20,Further information pending
QF654,Qantas,Perth,Brisbane,27-Mar-20,Further information pending
QF864,Qantas,Sydney,Gold Coast,26-Mar-20,"6,7,8,9,10"
QF652,Qantas,Perth,Brisbane,26-Mar-20,Further information pending
QF520,Qantas,Sydney,Brisbane,26-Mar-20,"15,16,17,18,19"
VA1141,Virgin Australia,Sydney,Ballina,25-Mar-20,"14,15,16,17,18"
QF508,Qantas,Sydney,Brisbane,25-Mar-20,"20,21,22,23,24,25,26"
QF530,Qantas,Sydney,Brisbane,25-Mar-20,"17,18,19,20,21"
QF1792,Qantas,Brisbane,Townsville,25-Mar-20,"7,8,9,10,11"
EK434,Emirates,Dubai,Brisbane,24-Mar-20,"73,74,75,76,77"
VA733,Virgin Australia,Melbourne,Gold Coast,24-Mar-20,"13,14,15,16,17"
VA935,Virgin Australia,Sydney,Brisbane,24-Mar-20,"17, 18, 19, 20, 21"
VA943,Virgin Australia,Sydney,Brisbane,24-Mar-20,"16,17,18,19,20"
QF594,Qantas,Perth,Brisbane,24-Mar-20,Further information pending
VA909,Virgin Australia,Sydney,Brisbane,24-Mar-20,"1,2,3,4"
QF2356,Qantas,Brisbane,Rockhampton,24-Mar-20,"1,2,3,4,5"
VA1371,Virgin Australia,Launceston,Melbourne,23-Mar-20,Further information pending
VA753,Virgin Australia,Melbourne,Coolangatta,23-Mar-20,"16,17,18,19,20"
EK054,Emirates,Dubai,Brisbane,23-Mar-20,"73,74,75,76,77"
EK412,Emirates,Dubai,Sydney,23-Mar-20,Further information pending
EY450,Emirates,Adu Dhabi,Sydney,23-Mar-20,"40,41,42,43,44"
JQ408,Jetstar,Sydney,Gold Coast,23-Mar-20,Further information pending
QF600,Qantas,Melbourne,Brisbane,23-Mar-20,"5,6,7,8,9"
QF594,Qantas,Perth,Brisbane,23-Mar-20,"14,15,16,17,18"
JQ916,Jetstar,Melbourne,Townsville,23-Mar-20,"1,2,3,4"
TT524,Tiger,Melbourne,Brisbane,22-Mar-20,"24,25,26,27,28"
AC033,Air Canada,Vancouver,Brisbane,22-Mar-20,Further information pending
CI53,China Airlines,Taipei,Brisbane,22-Mar-20,"30,31,32,33,34"
EK434,Emirates,Dubai,Brisbane,22-Mar-20,"45,46,47,48,49"
JQ912,Jetstar,Sydney,Townsville,22-Mar-20,"5,6,7,8,9"
QF52,Qantas,Singapore,Brisbane,22-Mar-20,Further information pending
QF922,Qantas,Sydney,Cairns,22-Mar-20,Further information pending
VA1118,Virgin Australia,Proserpine,Brisbane,22-Mar-20,Further information pending
VA570,Virgin Australia,Perth,Sydney,22-Mar-20,"6,7,8,9,10"
VA935,Virgin Australia,Sydney,Brisbane,22-Mar-20,"7,8,9,10,11"
QF556,Qantas,Sydney,Brisbane,22-Mar-20,"10,11,12,13,14,15"
QF702,Qantas,Melbourne,Cairns,22-Mar-20,"1,2,3,17,18,19,20,21"
EK5702,Emirates,Melbourne,Cairns,22-Mar-20,"1,2,3,17,18,19,20,21"
QF970,Qantas,Brisbane,Townsville,21-Mar-20,"15,16,17,18,19"
EK412,Emirates,Dubai,Sydney,21-Mar-20,"56, 57, 58, 59,60"
EK434,Emirates,Dubai,Brisbane,21-Mar-20,"70,71,72,73,74"
EK434,Emirates,Dubai,Brisbane,21-Mar-20,"47,48,49,50,51"
EY484,Etihad,Abu Dhabi,Brisbane,21-Mar-20,Further information pending
QF970,Qantas,Brisbane,Townsville,21-Mar-20,Further information pending
QF512,Qantas,Sydney,Brisbane,21-Mar-20,"12, 13, 14, 15, 16"
QF654,Qantas,Perth,Brisbane,21-Mar-20,"27,28,29,30"
VA8,Virgin Australia,Los Angeles,Brisbane,21-Mar-20,"14,15,16,17,18"
VA523,Virgin Australia,Sydney,Gold Coast,21-Mar-20,Further information pending
VA925,Virgin Australia,Sydney,Brisbane,21-Mar-20,"1,2,3"
VA1392,Virgin Australia,Brisbane,Adelaide,21-Mar-20,Further information pending
QF536,Qantas,Sydney,Gold Coast,20-Mar-20,"9, 10, 11, 12, 13"
JQ420,Jetstar,Sydney,Gold Coast,20-Mar-20,"23,24,25,26,27"
EK4,Emirates,London,Dubai,20-Mar-20,Further information pending
EK434,Emirates,Dubai,Brisbane,20-Mar-20,"47,48,49,50,51"
QF10,Qantas,Heathrow,Perth,20-Mar-20,Further information pending
QF16,Qantas,Los Angeles,Brisbane,20-Mar-20,"54,55,56,57,58"
SQ255,Singapore airlines,Singapore,Brisbane,20-Mar-20,"40,41,42,43,44"
VA1115,Virgin Australia,Brisbane,Proserpine,20-Mar-20,Further information pending
VA1393,Virgin Australia,Adelaide,Brisbane,20-Mar-20,Further information pending
VA1555,Virgin Australia,Sydney,Hervey Bay,20-Mar-20,Further information pending
VA353,Virgin Australia,Melbourne,Brisbane,20-Mar-20,"16,17,18,19,20,"
VA917,Virgin Australia,Sydney,Brisbane,20-Mar-20,Further information pending
QF1760,Qantas,Brisbane,Cairns,20-Mar-20,"20,21,22,23,24"
JQ563,Jetstar,Brisbane,Melbourne,20-Mar-20,"10,11,12,13,14"
QF1763,Qantas,Cairns,Brisbane,20-Mar-20,"2,3,4,5,6"
VA702,Virgin Australia,Brisbane,Hobart,12-Mar-20,"15,16,17,18,19"
