Flight #,Airline,Origin / Destination,Date of Arrival,Close contact rows,Watch for symptoms dates until
EY450,Ethiad Airways,Abu Dhabi - Sydney,10/03/20,"30, 31, 32, 33, 34, 35, 36",24/03/20
QF12,Qantas,Los Angeles - Sydney,11/03/20,"1,2,3,4,5",25/03/20
QF663,Qantas,Brisbane - Adelaide,10/03/20,"13, 14, 15, 16, 17",24/03/20
VA418,Virgin Australia,Sydney - Adelaide,10/03/20,"7, 8, 9, 10, 11, 12",24/03/20
QF741,Qantas,Sydney - Adelaide,11/03/20,"1,2,3,4",25/03/20
QF20,Qantas,Manila - Sydney,13/03/2020,"46, 47, 48, 49, 50",27/03/20
QF739,Qantas,Sydney - Adelaide,13/03/2020,"16, 17, 18, 19, 20",27/03/20
JQ452,Jetstar,Adelaide - Gold Coast,12/03/20,**,26/03/20
JQ453,Jetstar,Gold Coast - Adelaide,15/03/2020,"12, 13, 14, 15, 16",29/03/20
QF50,Qantas,San Francisco - Melbourne,13/03/2020,"2, 3, 4, 5, 6",27/03/20
QF679,Qantas,Melbourne - Adelaide,13/03/2020 10:25,"1, 2, 3, 4",27/03/20
QF94,Qantas,Los Angeles - Melbourne,13/03/2020,"34, 35, 36, 37, 38",27/03/20
QF685,Qantas,Melbourne - Adelaide,13/03/2020,"9, 10, 11, 12, 13",27/03/20
NZ191,Air New Zealand,Auckland - Adelaide,13/03/2020,"3, 4, 5, 6, 7",27/03/20
QF751,Qantas,Adelaide - Sydney,15/03/2020,"18, 19, 20, 21, 22",29/03/20
VA437,Virgin Australia,Sydney - Adelaide,17/03/2020,"12, 13, 14, 15, 16",31/03/20
EK440,Emirates Airlines,Dubai - Adelaide,15/03/2020,"23, 24, 25, 26, 27",29/03/20
VA211,Virgin Australia,Melbourne - Adelaide,16/03/2020,"4, 5, 6, 7, 8",30/03/20
VA444,Virgin Australia,Sydney - Adelaide,19/03/2020,"8, 9, 10, 11, 12, 22, 23, 24, 25, 26",02/04/20
QF761,Qantas,Sydney - Adelaide,16/03/2020,"5, 6, 7, 8, 9",30/03/20
VA213,Virgin Australia,Melbourne - Adelaide,16/03/2020,"16, 17, 18, 19, 20",30/03/20
QF675,Qantas,Melbourne - Adelaide,16/03/2020,"23, 24, 25, 26, 17",30/03/20
QF761,Qantas,Sydney - Adelaide,20/03/2020,"19, 20, 21, 22, 23",03/04/20
QF759,Qantas,Sydney - Adelaide,19/03/2020,All,02/04/20
QF759,Qantas,Sydney - Adelaide,17/03/2020,"7 ,8, 9, 10, 11",31/03/20
QF741,Qantas,Sydney - Adelaide,20/03/2020,"21, 22, 23, 24, 25",03/04/20
JQ768,Jetstar,Sydney - Adelaide,19/03/2020,"21, 22, 23, 24, 25",02/04/20
VA243,Virgin Australia,Melbourne - Adelaide,18/03/2020,"18, 19, 20, 21, 22",01/04/20
VA428,Virgin Australia,Sydney - Adelaide,19/03/2020,All,02/04/20
VA213,Virgin Australia,Melbourne - Adelaide,14/03/2020,"16, 17, 18, 19, 20",28/03/20
JQ764,Jetstar,Sydney - Adelaide,19/03/2020,"1, 2, 3",02/04/20
VA436,Virgin Australia,Sydney - Adelaide,19/03/2020,"1, 2, 3, 4, 5",02/04/20
VA418,Virgin Australia,Sydney - Adelaide,19/03/2020,"11, 12, 13, 14, 15, 27, 28, 29, 30, 31",02/04/20
QF761,Qantas,Sydney - Adelaide,21/03/2020,**,04/04/20
QF2701,Qantas,Adelaide - Whyalla,13/03/2020,"6, 7, 8, 9, 10",27/03/20
QF783,Qantas,Sydney - Adelaide,18/03/2020,"19, 20, 21, 22, 23",01/04/20
VA249,Virgin Australia,Melbourne - Adelaide,19/03/2020,"13, 14, 15, 16, 17",02/04/20
QF677,Qantas,Melbourne - Adelaide,17/03/2020,"12, 13, 14, 15, 16",31/03/20
QF759,Qantas,Sydney - Adelaide,18/03/2020,"11, 12, 13, 14, 15",01/04/20
