Flight number,Airline,Origin / destination,Date of arrival,Close contact rows
EK420,Emirates,Dubai to Perth,02/03/2020,"81, 82, 83, 84, 85"
QF10,QANTAS,London to Perth,05/03/2020,"40, 41, 42, 43, 44"
EK0420,Emirates,Dubai to Perth,08/03/2020,"45, 46, 47, 48, 49"
QF581,QANTAS,Sydney to Perth,09/03/2020,"46, 47, 48, 49, 50"
QF589,QANTAS,Brisbane to Perth,09/03/2020,"14, 15, 16, 17, 18"
CX171,Cathay Pacific,Hong Kong to Perth,10/03/2020,"18, 19, 20, 21, 22, 23"
QR900,Qatar Airways,Doha to Perth,10/03/2020,"70, 71, 72, 73, 74"
SQ225,Singapore Airlines,Singapore to Perth,11/03/2020,"45, 46, 47, 48, 49"
SQ225,Singapore Airlines,Singapore to Perth,12/03/2020,"42, 43, 44, 45, 46"
QF10,QANTAS,London to Perth,12/03/2020,"38, 39, 40, 41, 42"
QF769,QANTAS,Melbourne to Perth,12/03/2020,"50, 51, 52, 53, 54"
QF10,QANTAS,London to Perth,14/03/2020,"38, 39, 40, 41, 42"
TG481,Thai Airways,Bangkok to Perth,15/3/2020,"47, 48, 49, 50, 51"
EK0420,Emirates,Dubai to Perth,13/3/2020,"62, 63, 64, 65, 66"
EK0420,Emirates,Dubai to Perth,14/3/2020,"16, 17, 18, 19, 20, 21"
QR900,Qatar Airways,Doha to Perth,16/3/2020,"16, 17, 18, 19, 20"
EK0420,Emirates,Dubai to Perth,17/3/2020,"82, 83, 84,85, 86"
QR900,Qatar Airways,Doha to PerthArriving 18:25,13/3/2020,"78, 79, 80, 81, 82, 83"
NZ175,Air New Zealand,Auckland to PerthArriving 15:40,16/3/2020,"22, 23, 24, 25, 26, 27"
QF581,QANTAS,Sydney to PerthArriving 12:20,16/3/2020,"1, 2, 3, 4, 5"
QF769,QANTAS,Melbourne to Perth,17/3/2020,"53, 54, 55, 56, 57"
QF577,QANTAS,Sydney to Perth,19/3/2020,"27, 28, 29, 30, 31 and 48. 49, 50, 51, 52"
QF10,QANTAS,London to Perth,16/03/2020,"56, 57 ,58 ,59 ,60"
QF10,QANTAS,London to Perth,19/03/2020,"4, 5, 6, 7, 8"
EK0420,Emirates,Dubai to Perth,17/03/2020,"71, 72, 73, 74, 75"
QF769,QANTAS,Melbourne to Perth,17/03/2020,"53, 54, 55, 56, 57"
QF485,QANTAS,Melbourne to Perth,18/03/2020,"1, 2, 3, 4"
EK0420,QANTAS,Dubai to Perth,19/03/2020,"62, 63, 64, 65, 66"
VA569,Virgin,Sydney to Perth,16/03/2020,"27, 28, 29, 30, 31"
VA559,Virgin,Sydney to Perth,20/03/2020,"15, 16, 17, 18, 19"
TT761,Tiger Airways,Sydney to Perth,19/03/2020,"1, 2, 3, 26, 27, 28, 29, 30"
QF557,QANTAS,Sydney to Perth,19/03/2020,"27, 28, 29, 30, 31"
JQ1409,Jetstar,Denpasar to Perth,18/03/2020,"26, 27, 28, 29, 30"
VA555,Virgin,Sydney to Perth,19/03/2020,"30, 31, 32, 33, 34"
VA559,Virgin,Sydney to Perth,19/03/2020,"14, 15, 16, 17, 18, 29, 30, 31, 32, 33, 38, 39, 40, 41, 42"
QF577,QANTAS,Sydney to Perth,19/03/2020,"44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 57, 58, 59"
AC2740,Air Canada,Brisbane to Perth,16/03/2020,"1, 2, 3, 4, 5"
QF0583,QANTAS,Sydney to Perth,19/03/2020,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31"
VA464,Virgin,Brisbane to Perth,19/03/2020,"9, 10, 11, 12, 13"
QF72,QANTAS,Singapore to Perth,18/03/2020,"33, 34, 35, 36, 37"
EK0420,Emirates,Dubai to Perth,20/03/2020,"13, 14, 15, 16, 17"
QR900,Qatar,Doha to Perth,19/03/2020,"32, 33, 34, 35, 36"
