Flight number,Airline,Origin / destination,Date of arrival,Close contact rows
EK0420,Emirates,Dubai to Perth,08/03/2020,"45, 46, 47, 48, 49"
QF581,QANTAS,Sydney to Perth,09/03/2020,"46, 47, 48, 49, 50"
QF589,QANTAS,Brisbane to Perth,09/03/2020,"14, 15, 16, 17, 18"
CX171,Cathay Pacific,Hong Kong to Perth,10/03/2020,"18, 19, 20, 21, 22, 23"
QR900,Qatar Airways,Doha to Perth,10/03/2020,"70, 71, 72, 73, 74"
QF11,QANTAS,London to Perth,11/03/2020,"38, 39, 40, 41, 42"
SQ225,Singapore Airlines,Singapore to Perth,11/03/2020,"45, 46, 47, 48, 49"
SQ225,Singapore Airlines,Singapore to Perth,12/03/2020,"42, 43, 44, 45, 46"
QF10,QANTAS,London to Perth,12/03/2020,"38, 39, 40, 41, 42"
QF769,QANTAS,Melbourne to Perth,12/03/2020,"50, 51, 52, 53, 54"
EK0420,Emirates,Dubai to Perth,13/03/2020,"8, 9, 10, 11, 12 & 62, 63, 64, 65, 66"
QR900,Qatar Airways,Doha to Perth - Arriving 18:25,13/03/2020,"40, 41, 42, 43, 44 & 78, 79, 80, 81, 82, 83"
QF10,QANTAS,London to Perth,14/03/2020,"38, 39, 40, 41, 42"
EK0420,Emirates,Dubai to Perth,14/03/2020,"16, 17, 18, 19, 20, 21"
TG481,Thai Airways,Bangkok to Perth,15/03/2020,"47, 48, 49, 50, 51"
QR900,Qatar Airways,Doha to Perth,16/03/2020,"16, 17, 18, 19, 20"
NZ175,Air New Zealand,Auckland to Perth - Arriving 15:40,16/03/2020,"22, 23, 24, 25, 26, 27"
QF581,QANTAS,Sydney to Perth - Arriving 12:20,16/03/2020,"1, 2, 3, 4, 5"
QF10,QANTAS,London to Perth,16/03/2020,"56, 57 ,58 ,59 ,60"
VA569,Virgin,Sydney to Perth,16/03/2020,"27, 28, 29, 30, 31"
AC2740,Air Canada,Brisbane to Perth,16/03/2020,"1, 2, 3, 4, 5"
EK0420,Emirates,Dubai to Perth,17/03/2020,"44, 45, 46, 47, 48 & 51, 52, 53, 54, 55 & 82, 83, 84,85, 86"
QF769,QANTAS,Melbourne to Perth,17/03/2020,"53, 54, 55, 56, 57"
